,pref,pop_dens,pref_no
9118,Tochigi,648 ,9
9119,Hokkaido,235 ,1
9120,Gunma,852 ,10
9121,Saitama,2844 ,11
9122,Chiba,1761 ,12
9123,Tokyo,9793 ,13
9124,Kanagawa,6253 ,14
9125,Niigata,490 ,15
9126,Toyama,567 ,16
9127,Ishikawa,818 ,17
9128,Fukui,713 ,18
9129,Yamanashi,850 ,19
9130,Aomori,386 ,2
9131,Nagano,635 ,20
9132,Gifu,899 ,21
9133,Shizuoka,1325 ,22
9134,Aichi,2527 ,23
9135,Mie,865 ,24
9136,Shiga,1082 ,25
9137,Kyoto,2201 ,26
9138,Osaka,6620 ,27
9139,Hyogo,1964 ,28
9140,Nara,1555 ,29
9141,Iwate,330 ,3
9142,Wakayama,830 ,30
9143,Tottori,617 ,31
9144,Shimane,519 ,32
9145,Okayama,852 ,33
9146,Hiroshima,1213 ,34
9147,Yamaguchi,796 ,35
9148,Tokushima,721 ,36
9149,Kagawa,951 ,37
9150,Ehime,800 ,38
9151,Kochi,600 ,39
9152,Miyagi,731 ,4
9153,Fukuoka,1848 ,40
9154,Saga,610 ,41
9155,Nagasaki,792 ,42
9156,Kumamoto,625 ,43
9157,Oita,631 ,44
9158,Miyazaki,580 ,45
9159,Kagoshima,484 ,46
9160,Okinawa,1243 ,47
9161,Akita,302 ,5
9162,Yamagata,374 ,6
9163,Fukushima,438 ,7
9164,Ibaraki,719 ,8
9165,Tochigi,648 ,9
9166,Hokkaido,235 ,1
9167,Gunma,852 ,10
9168,Saitama,2844 ,11
9169,Chiba,1761 ,12
9170,Tokyo,9793 ,13
9171,Kanagawa,6253 ,14
9172,Niigata,490 ,15
9173,Toyama,567 ,16
9174,Ishikawa,818 ,17
9175,Fukui,713 ,18
9176,Yamanashi,850 ,19
9177,Aomori,386 ,2
9178,Nagano,635 ,20
9179,Gifu,899 ,21
9180,Shizuoka,1325 ,22
9181,Aichi,2527 ,23
9182,Mie,865 ,24
9183,Shiga,1082 ,25
9184,Kyoto,2201 ,26
9185,Osaka,6620 ,27
9186,Hyogo,1964 ,28
9187,Nara,1555 ,29
9188,Iwate,330 ,3
9189,Wakayama,830 ,30
9190,Tottori,617 ,31
9191,Shimane,519 ,32
9192,Okayama,852 ,33
9193,Hiroshima,1213 ,34
9194,Yamaguchi,796 ,35
9195,Tokushima,721 ,36
9196,Kagawa,951 ,37
9197,Ehime,800 ,38
9198,Kochi,600 ,39
9199,Miyagi,731 ,4
9200,Fukuoka,1848 ,40
9201,Saga,610 ,41
9202,Nagasaki,792 ,42
9203,Kumamoto,625 ,43
9204,Oita,631 ,44
9205,Miyazaki,580 ,45
9206,Kagoshima,484 ,46
9207,Okinawa,1243 ,47
9208,Akita,302 ,5
9209,Yamagata,374 ,6
9210,Fukushima,438 ,7
9211,Ibaraki,719 ,8
9212,Tochigi,648 ,9
9213,Hokkaido,235 ,1
9214,Gunma,852 ,10
9215,Saitama,2844 ,11
9216,Chiba,1761 ,12
9217,Tokyo,9793 ,13
9218,Kanagawa,6253 ,14
9219,Niigata,490 ,15
9220,Toyama,567 ,16
9221,Ishikawa,818 ,17
9222,Fukui,713 ,18
9223,Yamanashi,850 ,19
9224,Aomori,386 ,2
9225,Nagano,635 ,20
9226,Gifu,899 ,21
9227,Shizuoka,1325 ,22
9228,Aichi,2527 ,23
9229,Mie,865 ,24
9230,Shiga,1082 ,25
9231,Kyoto,2201 ,26
9232,Osaka,6620 ,27
9233,Hyogo,1964 ,28
9234,Nara,1555 ,29
9235,Iwate,330 ,3
9236,Wakayama,830 ,30
9237,Tottori,617 ,31
9238,Shimane,519 ,32
9239,Okayama,852 ,33
9240,Hiroshima,1213 ,34
9241,Yamaguchi,796 ,35
9242,Tokushima,721 ,36
9243,Kagawa,951 ,37
9244,Ehime,800 ,38
9245,Kochi,600 ,39
9246,Miyagi,731 ,4
9247,Fukuoka,1848 ,40
9248,Saga,610 ,41
9249,Nagasaki,792 ,42
9250,Kumamoto,625 ,43
9251,Oita,631 ,44
9252,Miyazaki,580 ,45
9253,Kagoshima,484 ,46
9254,Okinawa,1243 ,47
9255,Akita,302 ,5
9256,Yamagata,374 ,6
9257,Fukushima,438 ,7
9258,Ibaraki,719 ,8
9259,Tochigi,648 ,9
9260,Hokkaido,235 ,1
9261,Gunma,852 ,10
9262,Saitama,2844 ,11
9263,Chiba,1761 ,12
9264,Tokyo,9793 ,13
9265,Kanagawa,6253 ,14
9266,Niigata,490 ,15
9267,Toyama,567 ,16
9268,Ishikawa,818 ,17
9269,Fukui,713 ,18
9270,Yamanashi,850 ,19
9271,Aomori,386 ,2
9272,Nagano,635 ,20
9273,Gifu,899 ,21
9274,Shizuoka,1325 ,22
9275,Aichi,2527 ,23
9276,Mie,865 ,24
9277,Shiga,1082 ,25
9278,Kyoto,2201 ,26
9279,Osaka,6620 ,27
9280,Hyogo,1964 ,28
9281,Nara,1555 ,29
9282,Iwate,330 ,3
9283,Wakayama,830 ,30
9284,Tottori,617 ,31
9285,Shimane,519 ,32
9286,Okayama,852 ,33
9287,Hiroshima,1213 ,34
9288,Yamaguchi,796 ,35
9289,Tokushima,721 ,36
9290,Kagawa,951 ,37
9291,Ehime,800 ,38
9292,Kochi,600 ,39
9293,Miyagi,731 ,4
9294,Fukuoka,1848 ,40
9295,Saga,610 ,41
9296,Nagasaki,792 ,42
9297,Kumamoto,625 ,43
9298,Oita,631 ,44
9299,Miyazaki,580 ,45
9300,Kagoshima,484 ,46
9301,Okinawa,1243 ,47
9302,Akita,302 ,5
9303,Yamagata,374 ,6
9304,Fukushima,438 ,7
9305,Ibaraki,719 ,8
9306,Tochigi,648 ,9
9307,Hokkaido,235 ,1
9308,Gunma,852 ,10
9309,Saitama,2844 ,11
9310,Chiba,1761 ,12
9311,Tokyo,9793 ,13
9312,Kanagawa,6253 ,14
9313,Niigata,490 ,15
9314,Toyama,567 ,16
9315,Ishikawa,818 ,17
9316,Fukui,713 ,18
9317,Yamanashi,850 ,19
9318,Aomori,386 ,2
9319,Nagano,635 ,20
9320,Gifu,899 ,21
9321,Shizuoka,1325 ,22
9322,Aichi,2527 ,23
9323,Mie,865 ,24
9324,Shiga,1082 ,25
9325,Kyoto,2201 ,26
9326,Osaka,6620 ,27
9327,Hyogo,1964 ,28
9328,Nara,1555 ,29
9329,Iwate,330 ,3
9330,Wakayama,830 ,30
9331,Tottori,617 ,31
9332,Shimane,519 ,32
9333,Okayama,852 ,33
9334,Hiroshima,1213 ,34
9335,Yamaguchi,796 ,35
9336,Tokushima,721 ,36
9337,Kagawa,951 ,37
9338,Ehime,800 ,38
9339,Kochi,600 ,39
9340,Miyagi,731 ,4
9341,Fukuoka,1848 ,40
9342,Saga,610 ,41
9343,Nagasaki,792 ,42
9344,Kumamoto,625 ,43
9345,Oita,631 ,44
9346,Miyazaki,580 ,45
9347,Kagoshima,484 ,46
9348,Okinawa,1243 ,47
9349,Akita,302 ,5
9350,Yamagata,374 ,6
9351,Fukushima,438 ,7
9352,Ibaraki,719 ,8
9353,Tochigi,648 ,9
9354,Hokkaido,235 ,1
9355,Gunma,852 ,10
9356,Saitama,2844 ,11
9357,Chiba,1761 ,12
9358,Tokyo,9793 ,13
9359,Kanagawa,6253 ,14
9360,Niigata,490 ,15
9361,Toyama,567 ,16
9362,Ishikawa,818 ,17
9363,Fukui,713 ,18
9364,Yamanashi,850 ,19
9365,Aomori,386 ,2
9366,Nagano,635 ,20
9367,Gifu,899 ,21
9368,Shizuoka,1325 ,22
9369,Aichi,2527 ,23
9370,Mie,865 ,24
9371,Shiga,1082 ,25
9372,Kyoto,2201 ,26
9373,Osaka,6620 ,27
9374,Hyogo,1964 ,28
9375,Nara,1555 ,29
9376,Iwate,330 ,3
9377,Wakayama,830 ,30
9378,Tottori,617 ,31
9379,Shimane,519 ,32
9380,Okayama,852 ,33
9381,Hiroshima,1213 ,34
9382,Yamaguchi,796 ,35
9383,Tokushima,721 ,36
9384,Kagawa,951 ,37
9385,Ehime,800 ,38
9386,Kochi,600 ,39
9387,Miyagi,731 ,4
9388,Fukuoka,1848 ,40
9389,Saga,610 ,41
9390,Nagasaki,792 ,42
9391,Kumamoto,625 ,43
9392,Oita,631 ,44
9393,Miyazaki,580 ,45
9394,Kagoshima,484 ,46
9395,Okinawa,1243 ,47
9396,Akita,302 ,5
9397,Yamagata,374 ,6
9398,Fukushima,438 ,7
9399,Ibaraki,719 ,8
9400,Tochigi,648 ,9
9401,Hokkaido,235 ,1
9402,Gunma,852 ,10
9403,Saitama,2844 ,11
9404,Chiba,1761 ,12
9405,Tokyo,9793 ,13
